城市,站点名称,lng,lat,id,name,正反线路
城市,站点名称,lng,lat,id,name,正反线路
城市,站点名称,lng,lat,id,name,正反线路
大连,丰台街,121.55716808309457,38.89842194804723,BV10102034,33路(东北财经大学--泡崖八区),1
大连,熟食品交易中心,121.55815463840057,38.903553463880115,BV10101754,33路(东北财经大学--泡崖八区),1
大连,黄河桥,121.5621399476086,38.9105020843026,BV10101755,33路(东北财经大学--泡崖八区),1
大连,北甸街,121.56685862249498,38.91772169749986,BV10101994,33路(东北财经大学--泡崖八区),1
大连,通信电缆厂,121.56804996956565,38.92312182413893,BV10101993,33路(东北财经大学--泡崖八区),1
大连,绿波桥,121.56461511583775,38.93224537580788,BV10101992,33路(东北财经大学--泡崖八区),1
大连,绿波小区,121.56270821168819,38.93572684636724,BV10101991,33路(东北财经大学--泡崖八区),1
大连,新生路,121.56150663961135,38.93802784581132,BV10101990,33路(东北财经大学--泡崖八区),1
大连,锦绣路,121.55816820624239,38.94341278793847,BV10341644,33路(东北财经大学--泡崖八区),1
大连,迎客广场南,121.5569410801751,38.947605370919675,BV10983767,33路(东北财经大学--泡崖八区),1
大连,迎客桥,121.55816221475212,38.952148500123144,BV10102038,33路(东北财经大学--泡崖八区),1
大连,周水子,121.55926915689867,38.95561005028607,BV10101908,33路(东北财经大学--泡崖八区),1
大连,友谊桥,121.55911026061631,38.969579308588386,BV10102037,33路(东北财经大学--泡崖八区),1
大连,欣乐公园,121.5539483865773,38.973399821278626,BV10102031,33路(东北财经大学--泡崖八区),1
大连,泡崖市场,121.54867535452443,38.973160550156535,BV10102030,33路(东北财经大学--泡崖八区),1
大连,宇峰小学,121.548844572385,38.97513466029585,BV10102029,33路(东北财经大学--泡崖八区),1
大连,欣荣路,121.55012359814395,38.97739964669429,BV10102028,33路(东北财经大学--泡崖八区),1
大连,游崖门,121.54792982466321,38.97828699248309,BV10102036,33路(东北财经大学--泡崖八区),1
大连,八区幼儿园,121.54460061853597,38.97980548380371,BV10102035,33路(东北财经大学--泡崖八区),1
大连,泡崖八区,121.53919505224968,38.97855674056551,BV10102027,33路(东北财经大学--泡崖八区),1
大连,泡崖八区,121.53852402307487,38.9785052751036,BV10102027,33路(泡崖八区--东北财经大学),2
大连,八区幼儿园,121.54473799436731,38.97986672553972,BV10102035,33路(泡崖八区--东北财经大学),2
大连,游崖门,121.54813936754785,38.978365344817746,BV10102036,33路(泡崖八区--东北财经大学),2
大连,欣荣路,121.55033217543053,38.976957299151934,BV10102028,33路(泡崖八区--东北财经大学),2
大连,宇峰小学,121.548818534017,38.97487477048774,BV10102029,33路(泡崖八区--东北财经大学),2
大连,泡崖市场,121.54866034714091,38.97287869431454,BV10102030,33路(泡崖八区--东北财经大学),2
大连,欣乐公园,121.55345723596193,38.97332403619611,BV10102031,33路(泡崖八区--东北财经大学),2
大连,友谊桥,121.55857198115176,38.97091469324682,BV10102037,33路(泡崖八区--东北财经大学),2
大连,周水子,121.55926411204685,38.955916856662526,BV10101908,33路(泡崖八区--东北财经大学),2
大连,迎客桥,121.55807602486064,38.95220033819077,BV10102038,33路(泡崖八区--东北财经大学),2
大连,迎客广场南,121.55670468752389,38.9464636899422,BV10983767,33路(泡崖八区--东北财经大学),2
大连,锦绣路,121.55889089586893,38.94196973957196,BV10341644,33路(泡崖八区--东北财经大学),2
大连,新生路,121.56150967597952,38.93775601326077,BV10101990,33路(泡崖八区--东北财经大学),2
大连,绿波小区,121.56248177537881,38.9357805136991,BV10101991,33路(泡崖八区--东北财经大学),2
大连,绿波桥,121.5634479086085,38.932952475335746,BV10101992,33路(泡崖八区--东北财经大学),2
大连,通信电缆厂,121.56789770285677,38.923316541661244,BV10101993,33路(泡崖八区--东北财经大学),2
大连,北甸街,121.5665591449455,38.91749848529532,BV10101994,33路(泡崖八区--东北财经大学),2
大连,黄河桥,121.56188446977134,38.91036382033706,BV10101755,33路(泡崖八区--东北财经大学),2
大连,熟食品交易中心,121.55787107147626,38.9031962421941,BV10101754,33路(泡崖八区--东北财经大学),2
大连,丰台街,121.55703584030974,38.89800698398147,BV10102034,33路(泡崖八区--东北财经大学),2
大连,莱州街,121.55754557850905,38.892386039322396,BV10101810,33路(泡崖八区--东北财经大学),2
大连,徐州街,121.55490618721691,38.88793641043036,BV10101811,33路(泡崖八区--东北财经大学),2
大连,孙家沟,121.55538960830756,38.88510883059099,BV10101812,33路(泡崖八区--东北财经大学),2
大连,尖山街,121.5509434882115,38.88083366397093,BV10101846,33路(泡崖八区--东北财经大学),2
大连,经贸学校,121.5448906088429,38.880240413283,BV10101845,33路(泡崖八区--东北财经大学),2
